,FIGHTER,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,FIGHTER_ID
2856,Gian Villante,Record: 17-12-0,"6' 3""",205 lbs.,"76""",Orthodox,"Aug 18, 1985",4.32,44%,5.29,55%,0.49,23%,83%,0.0,fcd448a2fe1a23cc
2857,Ike Villanueva,Record: 16-11-0,"6' 1""",225 lbs.,"73""",Orthodox,"Apr 04, 1984",3.14,37%,9.0,35%,0.0,0%,0%,0.0,f9d0cae37dabfafc
2858,Ruben Villareal,Record: 22-28-3,"6' 4""",265 lbs.,--,Orthodox,"May 01, 1970",5.18,53%,4.86,35%,0.0,0%,0%,0.0,39f68882def7a507
2859,Armando Villarreal,Record: 5-2-0,"5' 7""",135 lbs.,"66""",Southpaw,"Aug 08, 1989",3.23,55%,4.3,52%,3.23,25%,0%,0.0,454c1f0b638972ab
2860,Pablo Villaseca,Record: 12-3-0,"5' 7""",155 lbs.,"69.0""",--,"Jan 26, 1987",2.79,42%,3.25,65%,2.5,50%,33%,0.0,34f93dfbd43b2144
2861,Joey Villasenor,Record: 29-10-0,"6' 0""",185 lbs.,--,Orthodox,"Oct 17, 1975",2.05,38%,3.26,52%,0.71,40%,53%,1.1,15515e797aedc137
2862,Danillo Villefort,Record: 15-5-0,"6' 1""",185 lbs.,"75.5""",Orthodox,"May 08, 1983",2.86,37%,2.4,68%,1.71,66%,33%,1.7,fd87b1bbfcde9d5e
2863,Yuri Villefort,Record: 10-5-0,"6' 0""",170 lbs.,"73""",Orthodox,"Mar 23, 1991",3.18,43%,5.42,55%,2.0,35%,40%,0.3,0fb1e2694a39a02f
2864,Marcos Vinicius,Record: 23-11-1,"5' 9""",125 lbs.,"70""",Orthodox,"Dec 05, 1979",1.93,49%,2.91,47%,0.0,0%,25%,0.5,e363b21261814830
2865,Brandon Visher,Record: 13-3-0,"5' 6""",135 lbs.,"68""",Orthodox,"May 06, 1984",2.55,45%,3.76,42%,0.67,20%,0%,0.0,7c4ec656d8fcb867
2866,Falaniko Vitale,Record: 30-11-0,"5' 10""",185 lbs.,"72.0""",Orthodox,"Jul 14, 1974",1.88,49%,3.68,47%,0.72,33%,86%,0.0,445a98acb8985970
2867,Bobby Voelker,Record: 19-13-0,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 26, 1979",4.01,35%,5.84,42%,1.04,50%,66%,0.0,fb8a3025ae722e64
2868,Alexander Volkanovski,Record: 22-1-0,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988",6.02,55%,3.31,60%,2.09,34%,72%,0.3,e1248941344b3288
2869,Jacob Volkmann,Record: 19-7-0,"5' 9""",155 lbs.,"71""",Southpaw,"Sep 05, 1980",1.19,34%,1.78,52%,3.19,48%,52%,2.0,6f81b6de2557739a
2870,Alexander Volkov,Record: 31-8-0,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",4.65,58%,2.53,54%,0.72,70%,65%,0.2,279566840aa55bf2
2871,Jason Von Flue,Record: 14-12-1,"6' 0""",170 lbs.,--,Orthodox,"Aug 01, 1975",1.89,36%,3.23,52%,0.62,16%,58%,1.5,c4b9296214f4c09c
2872,Milco Voorn,Record: 20-11-1,--,220 lbs.,--,Orthodox,--,0.0,0%,0.0,100%,0.0,0%,0%,0.0,277ffed20cf07aea
2873,Mark Vorgeas,Record: 5-3-1,"5' 10""",135 lbs.,"69.0""",--,--,3.87,32%,4.19,51%,0.0,0%,50%,0.8,ef0344ed552d8a22
2874,Igor Vovchanchyn,Record: 55-10-0 (1 NC),"5' 8""",205 lbs.,--,Orthodox,"Aug 06, 1973",1.59,49%,0.97,63%,1.19,66%,50%,0.5,7929be8290289a47
2875,Luke Zachrich,Record: 14-4-0,"6' 2""",185 lbs.,"74""",Orthodox,"Dec 19, 1981",4.56,32%,4.46,62%,0.74,33%,80%,0.0,2284092f8b63273b
2876,Anton Zafir,Record: 7-3-0,"5' 11""",170 lbs.,"72""",Orthodox,"May 10, 1987",2.99,64%,2.31,52%,6.11,60%,0%,0.0,8c822811eedc11ad
2877,Aiemann Zahabi,Record: 7-2-0,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987",2.81,39%,3.93,65%,0.36,16%,72%,0.0,24656ef4d605c96f
2878,Joao Zaiden,Record: 10-3-0,--,205 lbs.,--,--,"Mar 16, 1993",0.0,0%,0.0,0%,0.0,0%,0%,0.0,6b614bda982f5214
2879,Youssef Zalal,Record: 10-3-0,"5' 10""",145 lbs.,"72""",Switch,"Sep 04, 1996",2.68,51%,1.27,65%,2.25,42%,60%,1.5,52c2ae6d2f2d2613
2880,Elizeu Zaleski dos Santos,Record: 22-7-0,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986",4.05,39%,3.07,59%,0.57,17%,52%,0.5,8adcbd525fab8d9b
2881,Zach Zane,Record: 10-7-0,"5' 7""",145 lbs.,"69""",Southpaw,"Dec 14, 1989",0.87,56%,6.67,20%,0.0,0%,26%,0.0,cc3878d1ab41a5fa
2882,Roger Zapata,Record: 4-2-0,"5' 11""",170 lbs.,"74""",Southpaw,"May 09, 1986",2.6,51%,2.13,36%,0.0,0%,81%,1.4,fe5ca7ef93c3f6a7
2883,Marius Zaromskis,Record: 20-9-0 (1 NC),"5' 9""",170 lbs.,"69.0""",Orthodox,"Jul 30, 1980",5.02,34%,5.93,50%,0.73,42%,73%,0.0,abcf7e55a0a9ed89
2884,David Zawada,Record: 17-5-0,"6' 0""",170 lbs.,"75""",Orthodox,"Aug 01, 1990",3.38,41%,4.32,56%,0.94,22%,60%,3.3,3bb2dc8e87b10a46
2885,Joao Zeferino,Record: 21-9-0,"5' 11""",170 lbs.,"73""",Orthodox,"Jan 15, 1986",0.83,36%,2.6,48%,0.5,5%,50%,1.0,be4076c9e8d791e3
2886,Craig Zellner,Record: 4-3-0,"6' 2""",205 lbs.,--,Orthodox,"Sep 09, 1976",0.61,9%,4.65,61%,0.0,0%,0%,0.0,3794e5e0bb0defb6
2887,Roman Zentsov,Record: 18-12-0,"6' 1""",230 lbs.,--,Orthodox,"Sep 10, 1973",1.18,36%,0.53,70%,1.6,100%,33%,3.2,3144121470023e9a
2888,Carlos Zevallos,Record: 3-4-0,"6' 0""",205 lbs.,"74.5""",Orthodox,1978.09.05,4.36,65%,2.28,68%,0.0,0%,100%,0.0,cbf69fa846c7e3ee
2889,Zhang Tiequan,Record: 15-4-0,"5' 8""",155 lbs.,"69""",Orthodox,"Jul 25, 1978",1.23,36%,2.14,51%,1.95,58%,75%,3.4,c23e3d4875340d8d
2890,Zhang Lipeng,Record: 23-9-1,"5' 11""",155 lbs.,"71""",Southpaw,"Mar 10, 1990",1.28,48%,1.88,53%,1.75,30%,69%,0.8,7b310409440c9102
2891,Zhang Weili,Record: 21-1-0,"5' 4""",115 lbs.,"63""",Switch,"Aug 13, 1989",6.38,45%,4.43,53%,1.26,23%,100%,0.5,1ebe20ebbfa15e29
2892,Yao Zhikui,Record: 2-4-0,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 07, 1991",1.44,21%,2.82,48%,0.66,16%,58%,0.0,5ea918ea81b7dee2
2893,Zhalgas Zhumagulov,Record: 13-4-0,"5' 4""",125 lbs.,"66""",Switch,"Aug 29, 1988",4.4,55%,3.47,57%,2.0,18%,0%,0.0,55fa6ce3e522c8bb
2894,Fares Ziam,Record: 10-3-0,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 21, 1997",0.67,32%,1.4,57%,0.0,0%,75%,0.0,1e4f273069fb9e85
2895,Mike Zichelle,Record: 8-4-0,"5'10""",205 lbs.,"75.0""",--,--,0.87,35%,0.87,40%,0.0,0%,0%,2.0,6d3398b910461f2f
2896,James Zikic,Record: 21-10-2,"6' 2""",205 lbs.,--,Orthodox,"Mar 01, 1977",1.47,35%,1.6,44%,0.5,25%,74%,0.5,4b4fc3ddc307bc73
2897,Errol Zimmerman,Record: 0-1-0,"6' 3""",185 lbs.,--,Orthodox,"Apr 20, 1986",2.95,42%,0.0,0%,0.0,0%,0%,0.0,0aa74d04c196800c
2898,Cat Zingano,Record: 10-4-0,"5' 6""",145 lbs.,"68""",Southpaw,"Jul 01, 1982",2.57,61%,1.63,47%,2.77,65%,42%,0.8,3ecd936bd8814108
2899,Igor Zinoviev,Record: 4-1-2,"6' 1""",199 lbs.,--,Orthodox,1966.05.23,0.0,0%,0.0,0%,0.0,0%,0%,0.0,108afe61a26bcbf4
2900,Dave Zitanick,Record: 5-7-0 (1 NC),--,170 lbs.,--,--,"Mar 05, 1980",0.0,0%,0.0,0%,0.0,0%,0%,0.0,be124bdd60fab7d5
2901,Alex Zuniga,Record: 6-3-0,--,145 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,02d808afb96669de
2902,George Zuniga,Record: 3-1-0,"5' 9""",185 lbs.,"73.0""",--,--,7.64,38%,5.45,37%,0.0,0%,100%,0.0,1291dd6b8ab4d952
2903,Allan Zuniga,Record: 13-1-0,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992",3.93,52%,1.8,61%,0.0,0%,57%,1.0,523af801b3429015
2904,Virgil Zwicker,Record: 15-6-1,"6' 2""",205 lbs.,"74""",--,"Jun 26, 1982",3.34,48%,4.87,39%,1.31,30%,50%,0.0,0c277f3ff66b0208
2905,Osamu Tachihikari,Record: 0-4-0,"6' 5""",300 lbs.,--,Orthodox,1963.09.12,0.0,0%,0.0,0%,0.0,0%,0%,0.0,e7bc606d269896aa
2906,Amber Tackett,Record: 1-3-0,"5'4""",115 lbs.,"60.0""",--,1987.02.06,0.0,0%,0.0,0%,0.0,0%,0%,0.0,bb01bc3c57f39b04
2907,Eugenio Tadeu,Record: 2-3-0 (1 NC),"5' 8""",160 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,f70144caea5c4c80
2908,Justin Tafa,Record: 4-1-0,"6' 0""",264 lbs.,"74""",Southpaw,"Dec 13, 1993",3.86,66%,2.65,52%,0.0,0%,0%,0.0,e13abac8089a801a
2909,Khalid Taha,Record: 13-2-0 (1 NC),"5' 5""",135 lbs.,"69""",Orthodox,"Feb 15, 1992",2.64,50%,2.29,45%,0.0,0%,63%,0.5,b4537562f88ac582
2910,Joe Taimanglo,Record: 23-7-1,"5' 4""",135 lbs.,"65.0""",--,"Jun 27, 1984",4.18,42%,4.55,59%,5.45,40%,100%,1.4,9bf126927843e184
2911,Mairbek Taisumov,Record: 27-6-0,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 08, 1988",2.98,39%,3.03,64%,1.34,63%,88%,0.0,8f5c8850b2484173
2912,Nobuhiko Takada,Record: 2-6-2,"6' 0""",220 lbs.,--,Southpaw,"Apr 12, 1962",0.31,24%,1.92,39%,1.15,20%,0%,0.0,a25b71fe5e31fa97
2913,Yoshiki Takahashi,Record: 30-27-3 (1 NC),"5' 11""",199 lbs.,--,Southpaw,"Mar 13, 1969",2.26,51%,6.47,44%,0.0,0%,66%,2.3,6420efac0578988b
2914,Yoko Takahashi,Record: 15-12-2,"5' 8""",150 lbs.,--,--,"Apr 20, 1973",5.11,54%,8.78,48%,0.0,0%,0%,0.0,01f86e2d604e2f3c
2915,Daiju Takase,Record: 12-15-2,"6' 0""",170 lbs.,--,Southpaw,"Apr 20, 1978",0.49,30%,1.64,47%,0.84,17%,21%,1.2,4f74c8be51db8a37
2916,Hiroyuki Takaya,Record: 21-14-2,"5' 6""",139 lbs.,--,Orthodox,"Jun 10, 1977",3.18,33%,3.16,60%,0.9,45%,66%,0.0,0d16bdb7d32e88e9
2917,Yoshihiro Takayama,Record: 1-4-0,"6' 5""",280 lbs.,--,Orthodox,"Sep 19, 1968",3.4,54%,5.69,29%,0.67,33%,55%,0.0,d856a0080ac09ed7
2918,Makoto Takimoto,Record: 6-5-0,"5' 7""",205 lbs.,--,Southpaw,"Dec 08, 1979",1.37,39%,1.71,55%,1.48,50%,25%,1.1,a7724f51e32e763e
2919,Oleg Taktarov,Record: 17-5-2,"6' 0""",210 lbs.,--,Orthodox,"Aug 26, 1967",0.0,0%,0.0,0%,0.0,0%,0%,0.0,1dc56b59cb28425d
2920,Nordine Taleb,Record: 15-7-0,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 10, 1981",3.66,51%,2.62,66%,1.94,76%,73%,0.0,49858bf46dabf6fb
2921,Tsuyoshi Tamakairiki,Record: 0-3-0,"6' 0""",220 lbs.,--,Orthodox,--,0.0,0%,26.67,50%,0.0,0%,0%,0.0,eaa0a728cc91ef60
2922,Eli Tamez,Record: 10-0-0,"5' 7""",135 lbs.,"68.5""",--,"Aug 22, 1985",0.0,0%,0.0,0%,0.0,0%,0%,0.0,bfd4d50591033a1f
2923,Kiyoshi Tamura,Record: 32-13-3,"5' 11""",185 lbs.,--,Southpaw,"Dec 17, 1969",2.44,53%,1.44,60%,0.58,60%,45%,0.2,30e8b4505f5ccf92
2924,Akitoshi Tamura,Record: 21-18-2,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980",3.73,43%,1.94,78%,0.0,0%,20%,1.0,c95fbc085e17a532
2925,Issei Tamura,Record: 10-8-0,"5' 5""",135 lbs.,"63""",Orthodox,"Mar 12, 1984",1.89,53%,4.58,44%,0.92,25%,33%,0.0,57bf89d42364d39e
2926,Jason Tan,Record: 5-3-0,"5' 10""",170 lbs.,--,Orthodox,"Dec 17, 1981",0.69,29%,7.37,18%,0.0,0%,0%,0.0,ad3041e61896b975
2927,Akihito Tanaka,Record: 2-2-0,"6'1""",--,--,Southpaw,1983.03.09,0.19,50%,2.05,38%,5.59,66%,0%,0.0,1bf49bf829964144
2928,Michinori Tanaka,Record: 11-3-0,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 04, 1990",1.97,37%,1.99,50%,2.4,38%,43%,0.2,64788ee44b062ded
2929,Evan Tanner,Record: 32-8-0,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971",3.05,59%,2.64,56%,2.55,43%,25%,1.3,8f2d9ee27f206f1f
2930,Manny Tapia,Record: 12-14-1,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 14, 1981",2.69,21%,4.74,58%,0.49,40%,66%,0.2,0eec866a077889f0
2931,Gary Tapusoa,Record: 8-3-0,"5' 7""",185 lbs.,"70.0""",--,1979.09.02,0.0,0%,0.0,0%,0.0,0%,0%,0.0,37ac9e0f4fc86171
2932,Miesha Tate,Record: 18-7-0,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 18, 1986",1.93,41%,2.71,50%,2.06,31%,52%,1.6,b96619b3acd7d9da
2933,Deividas Taurosevicius,Record: 17-5-0,"5' 9""",145 lbs.,"68""",Southpaw,"Aug 28, 1977",2.13,43%,1.82,59%,2.0,28%,50%,0.3,ef927e4fe2117ab8
2934,Thiago Tavares,Record: 21-7-1,"5' 7""",145 lbs.,"70""",Orthodox,"Nov 08, 1984",2.0,40%,2.31,62%,3.83,42%,62%,1.5,8a59d346dc976a10
2935,Jeremy Tavares,Record: 1-6-0,--,135 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,681d07e328798ec0
2936,Brad Tavares,Record: 17-7-0,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",3.0,40%,2.76,55%,1.03,27%,77%,0.0,0c6d9ea8306c029e
2937,Paul Taylor,Record: 11-6-1 (1 NC),"6' 0""",155 lbs.,"72""",Orthodox,"Dec 15, 1979",4.44,47%,4.47,55%,0.27,25%,56%,0.5,9b74de674c355425
2938,Jesse Taylor,Record: 31-15-0,"6' 0""",170 lbs.,"73""",Orthodox,"Jan 02, 1983",1.94,65%,0.55,38%,7.28,50%,100%,3.1,dd992d569aaebee6
2939,Torrance Taylor,Record: 13-8-1,"5' 7""",155 lbs.,--,--,1987.10.11,0.0,0%,0.0,0%,0.0,0%,0%,0.0,88e53ec16b801740
2940,Louis Taylor,Record: 13-4-0,"5' 11""",185 lbs.,"74""",Orthodox,"May 12, 1979",2.06,32%,1.24,68%,2.48,28%,100%,0.0,49bddfee9ed54cf3
2941,Anthony Taylor,Record: 1-3-0,"5' 7""",145 lbs.,"66.5""",--,1989.06.23,0.0,0%,0.0,0%,0.0,0%,0%,0.0,637a4d8825464c62
2942,Danielle Taylor,Record: 9-4-0,"5' 0""",115 lbs.,"60""",Orthodox,"Oct 25, 1989",2.75,29%,3.31,71%,0.2,20%,70%,0.2,b76c6268dc1d3c05
2943,J.T Taylor,Record: 7-7-0,"5' 10""",--,--,--,--,3.17,80%,3.7,26%,3.96,100%,0%,7.9,17c6e35e4da505b0
2944,James Te Huna,Record: 16-9-0,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 29, 1981",4.04,51%,2.99,62%,2.75,37%,58%,0.2,f5431394fb284bb9
2945,Shawn Teed,Record: 5-2-0,"6' 5""",265 lbs.,"79""",Orthodox,"Feb 13, 1992",1.4,42%,13.31,21%,0.0,0%,0%,0.0,5bb70ebd65075c5c
2946,Glover Teixeira,Record: 31-7-0,"6' 2""",205 lbs.,"76""",Orthodox,"Oct 28, 1979",3.74,47%,3.87,55%,1.87,38%,60%,0.9,7ff97850e8c32bda
2947,John Teixeira,Record: 21-2-2,"5' 7""",145 lbs.,"69.0""",Orthodox,"Nov 18, 1986",3.36,35%,3.2,63%,1.0,27%,71%,0.7,86061eaba822bfea
2948,Ewerton Teixeira,Record: 3-1-0,"6' 1""",242 lbs.,--,--,"Feb 13, 1982",2.0,39%,3.22,35%,0.0,0%,33%,0.0,de9e331b3e6bae70
2949,Tra Telligman,Record: 7-5-1,"6' 2""",233 lbs.,--,Orthodox,"Feb 07, 1965",1.83,35%,3.02,56%,0.87,100%,80%,0.0,1dab0d1d81dd06db
2950,Taneisha Tennant,Record: 5-1-0,"5' 7""",145 lbs.,"70""",Orthodox,"Jun 15, 1989",5.67,55%,3.4,71%,0.0,0%,100%,0.0,87911d22a79d3203
2951,Herman Terrado,Record: 15-3-1,"5'9""",170 lbs.,"69.0""",--,1989.09.27,0.0,0%,0.0,0%,0.0,0%,0%,0.0,61d6368013f8637f
2952,Dave Terrel,Record: 7-7-0,"5' 8""",170 lbs.,--,Southpaw,"May 10, 1978",2.62,43%,2.8,48%,3.28,38%,100%,0.0,b9aa0024f295609e
2953,David Terrell,Record: 6-2-0,"6' 1""",185 lbs.,--,Southpaw,"Jan 09, 1978",2.34,63%,2.71,37%,5.54,50%,0%,5.5,4123fd4dcc1fe937
2954,James Terry,Record: 19-9-0,"5' 10""",170 lbs.,"71.0""",Orthodox,"Mar 16, 1981",3.23,32%,4.77,64%,3.31,36%,75%,0.0,5befa793316d3469
2955,Jeff Terry,Record: 2-3-0,"6' 2""",205 lbs.,--,--,--,1.09,50%,9.27,19%,0.0,0%,100%,0.0,60f86c449cd31e23
2956,David Teymur,Record: 8-2-0,"5' 9""",155 lbs.,"73""",Southpaw,"May 01, 1989",4.69,43%,3.53,55%,0.94,33%,77%,0.0,2747c60e42d9d75f
2957,Daniel Teymur,Record: 7-4-0,"5' 5""",145 lbs.,"69""",Orthodox,"Feb 03, 1988",3.08,46%,3.93,56%,0.56,18%,60%,0.3,fbf0537e420e698e
2958,Motonobu Tezuka,Record: 28-12-7,"5' 7""",135 lbs.,"66""",Southpaw,"Aug 29, 1987",0.87,23%,2.8,51%,1.5,11%,0%,0.5,d34636a85f0f4c90
2959,Jason Thacker,Record: 0-1-0,"5' 10""",185 lbs.,--,Orthodox,"Aug 18, 1975",0.63,33%,17.05,32%,0.0,0%,0%,0.0,f0264252e191da22
2960,Brandon Thatch,Record: 11-5-0,"6' 2""",170 lbs.,"74""",Switch,"Jul 11, 1985",2.7,42%,3.63,52%,1.36,66%,50%,0.7,638cfec7ec559d6e
2961,Elias Theodorou,Record: 16-3-0,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988",4.19,42%,2.39,53%,1.27,28%,59%,0.0,34f88592c0ab7a54
2962,Nik Theotikos,Record: 6-2-0,--,185 lbs.,--,Orthodox,--,0.0,0%,5.48,19%,0.0,0%,0%,4.8,ca936c67687789e9
2963,Paulo Thiago,Record: 18-9-0,"5' 11""",170 lbs.,"74""",Orthodox,"Jan 25, 1981",1.71,39%,1.99,63%,1.42,31%,63%,1.2,30a09e43f15f1d75
2964,Din Thomas,Record: 26-9-0 (1 NC),"5' 9""",155 lbs.,"75.0""",Orthodox,"Sep 28, 1976",1.85,37%,2.6,59%,1.38,52%,76%,1.2,40a604761ca7d64d
2965,Ryan Thomas,Record: 20-8-0,"6' 0""",170 lbs.,"75.5""",Orthodox,"Nov 05, 1984",2.01,36%,4.17,30%,5.59,33%,0%,2.2,b732b326c362fb62
2966,Noah Thomas,Record: 14-7-0,"5' 9""",135 lbs.,--,Orthodox,"Mar 27, 1981",0.44,13%,4.99,33%,0.0,0%,0%,1.3,319c15b8aac5bfde
2967,Joel Thomas,Record: 5-2-0,"5' 10""",170 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2b33e57c4d0a4502
2968,Treston Thomison,Record: 10-6-0,"5' 8""",145 lbs.,"67.0""",--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,ed5f04f833459877
2969,Nick Thompson,Record: 38-14-1,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 23, 1981",1.87,42%,1.8,49%,1.06,100%,35%,2.6,7d3caf0f96f1b33d
2970,James Thompson,Record: 20-16-0 (1 NC),"6' 5""",265 lbs.,"77.0""",Orthodox,"Dec 16, 1978",5.13,52%,3.19,41%,3.14,36%,53%,1.3,9e30f69cc0869301
2971,Oli Thompson,Record: 17-10-0,"6' 1""",242 lbs.,"75""",Orthodox,"Jan 02, 1980",1.66,46%,5.31,46%,0.0,0%,50%,0.5,dcdd511ff757f15c
2972,Stephen Thompson,Record: 15-4-1,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",3.93,44%,2.73,59%,0.36,45%,78%,0.0,4a28cb716c19157a
2973,Josh Thomson,Record: 22-9-0 (1 NC),"5' 10""",155 lbs.,"71""",Orthodox,"Sep 21, 1978",2.59,47%,2.12,64%,1.92,39%,54%,1.3,a566371ba2ad7152
2974,Simeon Thoresen,Record: 17-6-1,"6' 1""",170 lbs.,"79""",Orthodox,"Mar 14, 1984",3.85,43%,3.85,64%,1.12,40%,50%,1.7,fea8acf9bfcf09ec
2975,Josh Thornburg,Record: 8-8-0,"6' 0""",170 lbs.,"71.0""",--,"May 24, 1984",1.2,50%,3.13,38%,2.0,66%,42%,2.0,083e15da67d9b0fa
2976,Gleison Tibau,Record: 33-14-0,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 07, 1983",1.95,31%,2.51,63%,4.08,53%,92%,0.8,75e5fec9f72910ef
2977,Chris Tickle,Record: 9-9-0,"5' 9""",155 lbs.,"70.0""",--,"Feb 01, 1982",1.07,40%,1.13,43%,1.0,25%,20%,2.0,1d1b85389a05df69
2978,Nolan Ticman,Record: 4-3-0,"5' 6""",125 lbs.,"69""",Orthodox,"May 17, 1988",2.57,47%,2.53,67%,0.0,0%,60%,0.0,9eb069062a0cfc13
2979,Darren Till,Record: 18-3-1,"6' 0""",185 lbs.,"74""",Southpaw,"Dec 24, 1992",2.27,46%,2.99,58%,0.54,41%,82%,0.0,9ce6d5a03af801b7
2980,Brett Tillis,Record: 0-0-0,--,145 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,7b461ccae8270207
2981,Ryan Tobar,Record: 3-3-0,"5'10""",155 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,57481f1f10530c61
2982,Andrew Todhunter,Record: 8-0-0,"6' 0""",185 lbs.,"72""",Switch,"Nov 30, 1987",0.0,0%,0.0,0%,0.0,0%,0%,0.0,274ca7b799b402cc
2983,Dusko Todorovic,Record: 10-0-0,"6' 1""",185 lbs.,"74""",Orthodox,"May 19, 1994",8.04,67%,5.25,44%,0.65,6%,0%,0.0,866fd7b1a6c90e7f
2984,Hideo Tokoro,Record: 34-29-2,"5' 7""",135 lbs.,--,Orthodox,"Aug 22, 1977",1.78,37%,2.01,65%,0.87,34%,44%,2.3,2d5fbe2103f97053
2985,Anatoly Tokov,Record: 25-2-0,"5' 10""",185 lbs.,"73.0""",--,"Feb 17, 1990",3.51,72%,0.54,66%,2.03,100%,100%,0.0,679ae8c4fd022c6b
2986,Kazuki Tokudome,Record: 18-7-1,"5' 11""",155 lbs.,"73""",Southpaw,"Mar 04, 1987",2.26,41%,3.63,53%,2.0,38%,78%,0.0,c4af2feb4b58bc3b
2987,Tyler Toner,Record: 15-7-0 (1 NC),"5' 8""",145 lbs.,"70""",Orthodox,"Mar 31, 1983",2.95,52%,2.13,62%,0.0,0%,54%,0.4,8e893f269d5696b2
2988,James Toney,Record: 0-1-0,"5' 9""",220 lbs.,"72.0""",Orthodox,"Aug 24, 1968",0.0,0%,2.41,27%,0.0,0%,0%,0.0,d10b35152277cf98
2989,Masanori Tonooka,Record: 1-2-0,"5' 8""",185 lbs.,--,Orthodox,--,0.16,5%,1.09,36%,0.0,0%,0%,0.0,9de7c97e1c0d7927
2990,Carl Toomey,Record: 3-3-0,--,--,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,5ee87e0432205755
2991,Ilia Topuria,Record: 9-0-0,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 21, 1997",0.87,39%,1.13,67%,5.0,55%,100%,5.0,54f64b5e283b0ce7
2992,Anthony Torres,Record: 5-3-0,"5' 8""",170 lbs.,--,Orthodox,"Jul 31, 1978",3.54,48%,7.52,45%,0.0,0%,100%,2.2,918d9d89d4d52acc
2993,Miguel Torres,Record: 44-9-0,"5' 9""",135 lbs.,"76""",Orthodox,"Jan 18, 1981",3.98,43%,1.86,74%,0.0,0%,17%,1.6,33b2f68ef95252e0
2994,Ronys Torres,Record: 35-5-0,"5' 7""",155 lbs.,--,Orthodox,"Aug 13, 1975",0.87,26%,1.93,57%,4.0,47%,16%,0.5,cce79e827569f26e
2995,Haven Torres,Record: 0-0-0,"5'9""",125 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,1ff10dee2f7ae60c
2996,Tecia Torres,Record: 11-5-0,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",4.12,47%,3.35,62%,0.61,13%,55%,0.1,31ef8b67e13495b3
2997,Alex Torres,Record: 5-4-0,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1988",2.47,37%,2.73,69%,2.0,22%,50%,0.0,e4e0f310b3cf23a8
2998,Abram Torres,Record: 4-3-0,"5' 10""",170 lbs.,--,--,"Oct 29, 1982",0.0,0%,0.0,0%,0.0,0%,0%,0.0,e175a261a280f7cb
2999,Jose Torres,Record: 8-1-0,"5' 4""",125 lbs.,"65""",Orthodox,"Aug 02, 1992",4.37,36%,9.84,50%,1.28,33%,75%,0.0,d2036f31c035e0d1
3000,Desmond Torres,Record: 7-2-0,"5' 6""",135 lbs.,"69""",Orthodox,"Jan 06, 1997",4.8,64%,11.78,48%,0.0,0%,100%,0.0,971aebf56267de20
3001,Salim Touahri,Record: 10-4-0,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 28, 1989",2.6,46%,2.87,58%,0.0,0%,83%,0.0,cbf1c7ba5408a66f
3002,Dequan Townsend,Record: 21-12-0,"6' 3""",205 lbs.,"79""",Orthodox,"May 11, 1986",1.23,34%,3.92,38%,0.0,0%,46%,0.0,3f7dab21b6c971bc
3003,Minoru Toyonaga,Record: 2-5-0,"5' 11""",195 lbs.,--,Southpaw,1978.06.12,0.0,0%,0.0,0%,0.0,0%,0%,0.0,04076783ca83d6ae
